"records";"description";"keys";"ProfileInputName";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value";"br_indColumn";"br_name";"br_expression"
0;"false";0;"in";"GD";"S_2";"ru_RollupOnGD";"mle";"P_24";"RuleTwo";"length(GD) > 2"
2;"true";2;"in";"GD";"S_2";"ru_RollupOnGD";"mle";"P_24";"RuleTwo";"length(GD) > 2"
0;"null";;"in";"GD";"S_2";"ru_RollupOnGD";"phemail";"P_23";"RuleOne";"length(GD) > 1"
0;"false";0;"in";"GD";"S_2";"ru_RollupOnGD";"phemail";"P_23";"RuleOne";"length(GD) > 1"
1;"true";1;"in";"GD";"S_2";"ru_RollupOnGD";"phemail";"P_23";"RuleOne";"length(GD) > 1"
0;"null";;"in";"GD";"S_2";"ru_RollupOnGD";"phemail";"P_24";"RuleTwo";"length(GD) > 2"
0;"false";0;"in";"GD";"S_2";"ru_RollupOnGD";"phemail";"P_24";"RuleTwo";"length(GD) > 2"
1;"true";1;"in";"GD";"S_2";"ru_RollupOnGD";"phemail";"P_24";"RuleTwo";"length(GD) > 2"
0;"null";;"in";"GD";"S_2";"ru_RollupOnGD";"null";"P_23";"RuleOne";"length(GD) > 1"
39;"false";39;"in";"GD";"S_2";"ru_RollupOnGD";"null";"P_23";"RuleOne";"length(GD) > 1"
0;"true";0;"in";"GD";"S_2";"ru_RollupOnGD";"null";"P_23";"RuleOne";"length(GD) > 1"
0;"null";;"in";"GD";"S_2";"ru_RollupOnGD";"null";"P_24";"RuleTwo";"length(GD) > 2"
39;"false";39;"in";"GD";"S_2";"ru_RollupOnGD";"null";"P_24";"RuleTwo";"length(GD) > 2"
0;"true";0;"in";"GD";"S_2";"ru_RollupOnGD";"null";"P_24";"RuleTwo";"length(GD) > 2"
