"stat-multiple";"stat-type";"ProfileInternalColumnName";"ProfileSourceAttributeName";"ProfileInputName";"ProfileSourceAttributeType";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
"true";"last_x";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"quantiles";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"distinct";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"unique";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_positive_length";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_length";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max_length";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"avg_length";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median_length";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"non_unique";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"duplicate";"S_9";"directemail";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_nulls";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"count_not_nulls";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"first_x";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"last_x";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"true";"quantiles";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"distinct";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"unique";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"median";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_positive_length";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"min_length";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
"false";"max_length";"S_10";"directtelephone";"in";"STRING";"GD";"S_2";"ru_RollupOnGD";"f"
